timestamp,temperatura,pH ,conductividad,TDS,Sal.[psu],Press.[psi],DO_mgL
2021-11-17 18:44:20,17.51,5.55,655,0.327,0.32,10.79,4.11
2021-11-17 18:44:25,17.51,5.55,655,0.327,0.32,10.7909999999999,4.08
2021-11-17 18:44:30,17.51,5.55,655,0.327,0.32,10.7909999999999,4.08
2021-11-17 18:44:35,17.51,5.55,655,0.327,0.32,10.7909999999999,4.08
2021-11-17 18:44:40,17.51,5.55,655,0.327,0.32,10.794,4.22
2021-11-17 18:44:45,17.51,5.55,655,0.327,0.32,10.793,4.22
2021-11-17 18:44:50,17.51,5.55,655,0.327,0.32,10.793,4.17
2021-11-17 18:44:55,17.51,5.55,655,0.327,0.32,10.794,4.14
2021-11-17 18:45:00,17.51,5.55,655,0.327,0.32,10.793,4.17
2021-11-17 18:45:05,17.51,5.55,655,0.327,0.32,10.793,4.2
2021-11-17 18:45:10,17.51,5.55,655,0.327,0.32,10.7909999999999,4.2
2021-11-17 18:45:15,17.51,5.55,655,0.327,0.32,10.793,4.15
2021-11-17 18:45:20,17.51,5.55,655,0.327,0.32,10.7909999999999,4.11
2021-11-17 18:45:25,17.51,5.55,655,0.327,0.32,10.7909999999999,4.07
2021-11-17 18:45:30,17.51,5.55,655,0.327,0.32,10.7909999999999,4.05
2021-11-17 18:45:35,17.51,5.55,655,0.327,0.32,10.792,4.01
2021-11-17 18:45:40,17.51,5.55,655,0.327,0.32,10.79,4.02
2021-11-17 18:45:45,17.51,5.55,655,0.327,0.32,10.79,4.04
2021-11-17 18:45:50,17.51,5.55,655,0.327,0.32,10.7909999999999,4.04
2021-11-17 18:45:55,17.51,5.55,655,0.327,0.32,10.792,4.06
2021-11-17 18:46:00,17.51,5.55,655,0.327,0.32,10.793,4.04
2021-11-17 18:46:05,17.51,5.55,655,0.327,0.32,10.793,4.05
2021-11-17 18:46:10,17.51,5.55,655,0.327,0.32,10.793,4.04
2021-11-17 18:46:15,17.51,5.55,655,0.327,0.32,10.7909999999999,4.06
2021-11-17 18:46:20,17.51,5.55,655,0.327,0.32,10.794,4.08
2021-11-17 18:46:25,17.51,5.55,655,0.327,0.32,10.794,4.07
2021-11-17 18:46:30,17.51,5.55,655,0.327,0.32,10.793,4.04
2021-11-17 18:46:35,17.51,5.55,654,0.327,0.32,10.794,4.04
2021-11-17 18:46:40,17.51,5.55,655,0.327,0.32,10.795,4.08
2021-11-17 18:46:45,17.51,5.55,655,0.327,0.32,10.794,4.09
2021-11-17 18:46:50,17.51,5.55,655,0.327,0.32,10.795,4.06
2021-11-17 18:46:55,17.51,5.55,655,0.327,0.32,10.792,4.04
2021-11-17 18:47:00,17.51,5.55,655,0.327,0.32,10.792,4.05
2021-11-17 18:47:05,17.51,5.55,655,0.327,0.32,10.792,4.08
2021-11-17 18:47:10,17.51,5.55,655,0.327,0.32,10.79,4.06
2021-11-17 18:47:15,17.51,5.55,655,0.327,0.32,10.793,4.02
2021-11-17 18:47:20,17.51,5.55,655,0.327,0.32,10.794,3.98
2021-11-17 18:47:25,17.51,5.55,655,0.327,0.32,10.794,3.96
2021-11-17 18:47:30,17.51,5.55,655,0.327,0.32,10.795,3.94
